Date,Open,High,Low,Close,Adj Close,Volume
2019-03-01,41.610001,41.759998,41.480000,41.759998,36.845528,4590000
2019-03-04,41.730000,41.810001,41.389999,41.689999,36.783760,3948200
2019-03-05,41.560001,42.610001,41.560001,42.310001,37.330803,5668200
2019-03-06,42.360001,42.389999,41.930000,42.029999,37.083748,2490000
2019-03-07,41.610001,41.770000,41.330002,41.660000,36.757298,5283900
2019-03-08,41.450001,41.799999,41.340000,41.770000,36.854355,4139200
2019-03-11,41.650002,42.330002,41.639999,42.189999,37.224926,3501500
2019-03-12,41.639999,41.959999,41.639999,41.849998,36.924934,3963400
2019-03-13,42.080002,42.490002,41.950001,42.450001,37.454323,2973900
2019-03-14,42.279999,42.560001,42.119999,42.270000,37.295509,3707800
2019-03-15,42.279999,42.509998,42.099998,42.509998,37.507263,8993600
2019-03-18,42.520000,42.740002,42.430000,42.580002,37.569031,3076200
2019-03-19,42.889999,43.060001,42.730000,42.869999,37.824902,3209200
2019-03-20,43.070000,43.299999,42.790001,43.020000,37.957245,3757300
2019-03-21,42.910000,43.299999,42.889999,42.950001,37.895489,2434800
2019-03-22,42.450001,42.860001,42.419998,42.590000,37.577847,3891200
2019-03-25,42.599998,42.790001,42.430000,42.549999,37.542557,2971700
2019-03-26,43.020000,43.189999,42.860001,42.939999,37.886662,3106000
2019-03-27,42.599998,42.869999,42.290001,42.650002,37.630795,3183500
2019-03-28,43.150002,43.259998,42.840000,42.980000,37.921955,4655900
2019-03-29,40.380001,41.130001,40.139999,40.430000,35.672047,34782300
2019-04-01,41.439999,41.549999,40.939999,41.270000,36.413193,8415500
2019-04-02,41.240002,41.660000,41.090000,41.590000,36.695541,10883100
2019-04-03,41.200001,41.279999,40.810001,41.090000,36.254372,6320000
2019-04-04,40.790001,41.000000,40.480000,40.529999,35.760281,5580600
2019-04-05,40.500000,40.840000,40.470001,40.700001,35.910271,5788800
2019-04-08,41.080002,41.080002,40.770000,40.860001,36.051449,3169400
2019-04-09,40.779999,40.840000,40.509998,40.689999,35.901451,4313100
2019-04-10,40.750000,40.930000,40.439999,40.540001,35.769104,6619000
2019-04-11,40.320000,40.349998,39.660000,39.840000,35.151478,4514400
2019-04-12,39.619999,40.020000,39.470001,39.520000,34.869141,7489800
2019-04-15,39.759998,39.880001,39.630001,39.810001,35.125011,3006100
2019-04-16,40.099998,40.099998,39.270000,39.299999,34.675034,3334300
2019-04-17,39.320000,39.340000,38.740002,38.770000,34.207401,4408300
2019-04-18,38.770000,38.939999,38.349998,38.799999,34.233864,5430300
2019-04-22,38.779999,38.900002,38.560001,38.750000,34.189758,4253500
2019-04-23,38.630001,38.970001,38.630001,38.689999,34.136810,4812200
2019-04-24,38.720001,38.919998,38.580002,38.720001,34.163292,3942000
2019-04-25,38.419998,39.150002,38.400002,39.060001,34.463276,4729100
2019-04-26,37.840000,38.090000,37.660000,37.990002,33.519199,7190400
2019-04-29,38.560001,38.570000,38.099998,38.180000,33.686832,5518600
2019-04-30,38.130001,38.180000,36.830002,37.660000,33.228027,8666400
2019-05-01,37.509998,37.639999,37.250000,37.349998,32.954510,5199600
2019-05-02,37.630001,37.840000,37.459999,37.619999,33.192741,10215000
2019-05-03,38.320000,38.419998,38.080002,38.410000,33.889767,3217200
2019-05-06,37.919998,38.730000,37.750000,38.349998,33.836826,3540300
2019-05-07,38.360001,38.430000,37.820000,37.980000,33.510376,2831200
2019-05-08,38.470001,38.590000,38.270000,38.299999,33.792713,3193500
2019-05-09,38.470001,38.540001,38.259998,38.470001,33.942707,3578100
2019-05-10,38.060001,38.150002,37.389999,37.650002,33.219208,8515700
2019-05-13,37.290001,37.389999,37.119999,37.279999,32.892750,7657400
2019-05-14,37.779999,38.000000,37.639999,37.820000,33.369202,7164800
2019-05-15,37.610001,37.849998,37.580002,37.680000,33.245678,4570000
2019-05-16,37.740002,38.060001,37.660000,37.799999,33.351559,2988700
2019-05-17,37.630001,37.910000,37.580002,37.779999,33.333912,1716300
2019-05-20,37.340000,37.650002,37.330002,37.540001,33.122150,3097000
2019-05-21,37.650002,37.950001,37.610001,37.880001,33.422142,3438800
2019-05-22,37.639999,38.650002,37.639999,38.610001,34.066235,2945100
2019-05-23,38.660000,38.880001,38.439999,38.660000,34.110355,5530100
2019-05-24,39.009998,39.320000,38.900002,39.020000,34.427986,3086600
2019-05-28,38.500000,38.650002,38.000000,38.009998,33.536839,3807800
2019-05-29,37.660000,37.759998,37.439999,37.529999,33.113331,3334200
2019-05-30,37.740002,37.740002,37.330002,37.509998,33.095680,2912900
2019-05-31,37.130001,37.439999,37.119999,37.380001,32.980984,2623000
