Date,Open,High,Low,Close,Adj Close,Volume
2019-03-01,41.375713,41.546490,41.072105,41.138519,33.767422,26667781
2019-03-04,41.214420,41.356735,40.683113,40.863377,33.541576,22805820
2019-03-05,40.882355,41.034157,40.654648,40.692600,33.401398,26529812
2019-03-06,40.626186,40.673622,39.487667,39.715370,32.599270,22410359
2019-03-07,39.715370,39.743832,39.136623,39.269451,32.233242,29046132
2019-03-08,39.212524,39.316887,38.273247,38.795067,31.843857,31306119
2019-03-11,38.994308,39.392788,38.709679,39.373814,32.318901,29161545
2019-03-12,39.563568,39.772297,39.250473,39.592030,32.498020,24170539
2019-03-13,39.724857,39.971539,39.421253,39.857685,32.716084,23715316
2019-03-14,39.848198,39.924099,39.022770,39.079697,32.077492,32119596
2019-03-15,39.117645,39.734344,38.766602,39.639469,32.536961,74768652
2019-03-18,39.629982,39.914612,39.516129,39.667931,32.560322,18994345
2019-03-19,39.819733,40.256168,39.611008,40.132828,32.941929,26403227
2019-03-20,40.037952,40.227703,39.639469,40.009487,32.840691,23499035
2019-03-21,39.781784,40.455406,39.724857,40.180267,32.980865,24262553
2019-03-22,40.037952,40.436432,39.686909,39.705883,32.591476,19620105
2019-03-25,39.667931,39.990513,39.535103,39.743832,32.622627,19823316
2019-03-26,40.037952,40.512333,39.971539,40.246677,33.035378,20849279
2019-03-27,40.170776,40.455406,39.772297,39.867172,32.723869,19455048
2019-03-28,40.018974,40.199242,39.905125,40.123341,32.934139,16915541
2019-03-29,40.227703,40.398483,40.028461,40.294117,33.074310,21681834
2019-04-01,40.398483,40.740040,40.370018,40.645161,33.362457,20345046
2019-04-02,40.749527,40.967743,40.550285,40.711575,33.416977,18625129
2019-04-03,40.787476,40.863377,40.370018,40.645161,33.362457,16200402
2019-04-04,40.597721,40.721062,40.322582,40.550285,33.284588,12990972
2019-04-05,40.777988,41.062618,40.692600,40.787476,33.479279,15559043
2019-04-08,40.863377,41.062618,40.711575,40.929790,33.596088,15410323
2019-04-09,40.777988,40.796963,40.398483,40.645161,33.362457,18825072
2019-04-10,40.721062,40.721062,40.464897,40.540798,33.276794,13202615
2019-04-11,40.597721,40.635674,39.838711,40.104362,32.918556,20214877
2019-04-12,40.170776,40.170776,39.449715,39.573055,32.482449,21338546
2019-04-15,39.715370,39.962048,39.345352,39.933586,32.778385,18362788
2019-04-16,40.056927,40.132828,38.738140,38.823528,31.867228,27506976
2019-04-17,38.804554,38.899429,37.371918,37.836811,31.057306,42412117
2019-04-18,37.884251,37.884251,36.451614,37.362431,30.667925,50579774
2019-04-22,37.030361,37.476280,36.821632,36.982922,30.356411,31018904
2019-04-23,37.087288,37.609108,36.888046,37.400379,30.699072,26672102
2019-04-24,37.476280,37.609108,37.153702,37.352940,30.660130,21196994
2019-04-25,37.239090,37.789375,37.163189,37.580647,30.847033,18130065
2019-04-26,37.637569,37.941177,37.428844,37.922199,31.127392,20053193
2019-04-29,37.922199,37.969639,37.561668,37.561668,30.831463,23229001
2019-04-30,38.330170,39.070210,37.760910,38.529411,31.625807,34360400
2019-05-01,38.510437,38.823528,38.111954,38.681213,31.750408,20703406
2019-05-02,38.719166,38.918407,38.500950,38.908916,31.937315,20471210
2019-05-03,39.108158,39.373814,38.927895,39.269451,32.233242,18664759
2019-05-06,38.814041,39.629982,38.747627,39.516129,32.435722,25973406
2019-05-07,39.269451,39.573055,38.425049,38.738140,31.797140,27603838
2019-05-08,38.709679,38.927895,38.368122,38.851994,31.890585,23811968
2019-05-09,38.235294,38.747627,38.168880,38.557877,31.929876,19732461
2019-05-10,38.548386,38.728653,37.827324,38.633778,31.992720,17391527
2019-05-13,38.168880,38.567364,38.092979,38.491463,31.874874,28010788
2019-05-14,38.510437,38.776093,38.481972,38.576851,31.945587,26772759
2019-05-15,38.766602,39.174572,38.614799,39.041744,32.330566,33520678
2019-05-16,39.041744,39.829224,39.041744,39.506641,32.715553,25508486
2019-05-17,39.184059,39.667931,39.136623,39.345352,32.581989,29187684
2019-05-20,39.278938,39.573055,39.165085,39.459202,32.676258,24251591
2019-05-21,39.573055,39.667931,39.364326,39.535103,32.739109,28785056
2019-05-22,39.554081,40.047440,39.421253,39.838711,32.990536,25274604
2019-05-23,39.696396,39.829224,39.516129,39.772297,32.935539,25495944
2019-05-24,39.905125,40.142315,39.724857,39.800758,32.959106,15383341
2019-05-28,39.990513,40.303604,39.743832,39.753323,32.919819,49440610
2019-05-29,39.563568,39.696396,39.165085,39.582542,32.778404,26895761
2019-05-30,39.544594,39.800758,39.449715,39.753323,32.919819,17344308
2019-05-31,39.554081,39.829224,39.326378,39.392788,32.621262,22639288
2019-06-03,39.497154,40.028461,39.440228,39.772297,32.935539,22643082
2019-06-04,40.303604,40.559772,39.886147,40.066414,33.179089,18453537
2019-06-05,40.417458,40.645161,40.237190,40.303604,33.375504,21418861
2019-06-06,40.607212,40.882355,40.303604,40.521824,33.556221,24494222
2019-06-07,40.777988,41.034157,40.664139,40.721062,33.721207,20023470
2019-06-10,41.024670,41.024670,40.483871,40.863377,33.839062,15275727
2019-06-11,40.986717,41.081593,40.370018,40.483871,33.524792,18813162
2019-06-12,40.294117,40.958256,40.284630,40.872864,33.846920,16296843
2019-06-13,40.863377,40.929790,40.199242,40.322582,33.391228,14464042
2019-06-14,40.341557,40.673622,40.303604,40.569260,33.595509,13197872
2019-06-17,40.512333,40.702087,40.180267,40.683113,33.689785,14094931
2019-06-18,40.626186,41.110058,40.626186,40.863377,33.839062,22833434
2019-06-19,40.958256,41.356735,40.882355,41.271347,34.176903,21753611
2019-06-20,41.584438,41.850094,41.280834,41.366222,34.255478,23500300
2019-06-21,41.318787,41.745731,41.091084,41.432636,34.310471,38141203
2019-06-24,41.451614,41.650852,41.242886,41.518028,34.381176,24624075
2019-06-25,41.603416,42.020874,41.518028,41.518028,34.381176,28429015
2019-06-26,41.442123,41.555977,40.322582,40.787476,33.776211,41009348
2019-06-27,40.815941,41.328274,40.806454,41.204933,34.121914,21994977
2019-06-28,41.223907,41.480076,40.777988,41.100571,34.035480,39726209
2019-07-01,41.280834,41.631878,41.119545,41.527515,34.389046,21341392
2019-07-02,41.442123,41.954460,41.423149,41.954460,34.742580,16541898
2019-07-03,42.096775,42.277039,41.726753,42.125237,34.884010,10297580
2019-07-05,42.039848,42.077801,41.537003,41.669830,34.506897,18295227
2019-07-08,41.555977,41.622391,40.777988,41.081593,34.019768,23955312
2019-07-09,41.195446,41.555977,41.081593,41.148006,34.074760,14223308
2019-07-10,41.413662,41.850094,41.214420,41.802658,34.616882,15298599
2019-07-11,41.100571,41.328274,40.208729,40.777988,33.768349,38383518
2019-07-12,40.711575,40.787476,39.857685,40.227703,33.312660,33580967
2019-07-15,40.104362,40.578747,40.075901,40.559772,33.587658,20363912
2019-07-16,40.597721,40.768501,40.303604,40.654648,33.666206,19553386
2019-07-17,40.882355,40.977230,40.540798,40.550285,33.579796,16341532
2019-07-18,40.664139,40.853889,40.370018,40.853889,33.831207,13728877
2019-07-19,40.977230,40.996204,40.578747,40.578747,33.603359,23552579
2019-07-22,40.635674,40.815941,40.370018,40.626186,33.642651,12552086
2019-07-23,40.654648,41.015179,40.559772,40.882355,33.854782,19586904
2019-07-24,40.796963,40.796963,40.199242,40.692600,33.697639,18117838
2019-07-25,40.635674,40.796963,40.351044,40.483871,33.524792,17514634
2019-07-26,40.474384,40.958256,40.256168,40.882355,33.854782,21062187
2019-07-29,40.009487,40.796963,39.222012,39.326378,32.566269,64559186
2019-07-30,37.789375,38.178368,36.622391,36.802658,30.476364,95739668
2019-07-31,36.622391,37.637569,36.537003,36.850094,30.515648,56309423
2019-08-01,36.347248,36.641365,35.749527,36.290321,30.333263,51624920
2019-08-02,36.290321,36.565464,35.815941,36.053131,30.135000,29153640
2019-08-05,35.825428,35.891842,34.544594,35.066414,29.310255,46030183
2019-08-06,35.284630,35.398483,34.601517,35.056927,29.302322,31985843
2019-08-07,34.772297,34.895638,34.022770,34.705883,29.008904,32017253
2019-08-08,34.819733,35.056927,34.724857,34.981026,29.238880,23356429
2019-08-09,34.886147,34.943073,34.259960,34.487667,28.826511,25391703
2019-08-12,34.449715,34.459202,32.998100,33.576851,28.065205,44212665
2019-08-13,33.614799,33.975330,33.349148,33.396584,27.914524,45549453
2019-08-14,33.140415,33.187855,32.447819,32.485767,27.153219,38633421
2019-08-15,32.542694,32.808350,32.229603,32.713470,27.343550,30713665
2019-08-16,32.941177,33.216320,32.722961,32.874763,27.478367,30012334
2019-08-19,33.092979,33.510437,33.045540,33.377609,27.898668,21997296
2019-08-20,33.301708,33.358635,32.798862,32.836811,27.446640,19932510
2019-08-21,33.149906,33.320683,33.036053,33.083492,27.652830,19208728
2019-08-22,33.168880,33.425049,33.017078,33.282730,27.819366,16933142
2019-08-23,33.406071,33.538898,32.419353,32.580647,27.232527,27765311
2019-08-26,32.846298,33.074005,32.713470,33.055027,27.629040,17468680
